No.	||	Structure type		||	M1	n_m1	D1	n_d1	D1'	n_d1'	||	M2	n_m2	D2	n_d2	D2'	n_d2'	||	M3	n_m3	D3	n_d3	||	O	nO	||	Ea	Log10A
143	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	3.8	Cr	0.2	Mo	1	||					||	O	20.1	||	521.0345541	3.456231867
144	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	3.75	Cr	0.25	Mo	1	||					||	O	20.125	||	628.2912478	3.90671374
145	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	3.7	Cr	0.3	Mo	1	||					||	O	20.15	||	577.1361742	3.765079223
146	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	3.65	Cr	0.35	Mo	1	||					||	O	20.175	||	572.1073646	3.614653758
147	||	Perovskite-related,hexagonal		||	Ba	7					||	Ta	3.8	Mo	1.2			||					||	O	20.1	||	604.8423049	4.075055532
148	||	Perovskite-related,hexagonal		||	Ba	7					||	Ta	3.7	Mo	1.3			||					||	O	20.15	||	645.725739	4.41826531
149	||	Perovskite-related,hexagonal		||	Ba	7					||	Ta	3.5	Mo	1.5			||					||	O	20.25	||	686.4046329	4.596393498
150	||	Perovskite-related,hexagonal		||	Ba	7					||	Ta	3.3	Mo	1.7			||					||	O	20.35	||	768.1236867	4.931601798
151	||	Fluorites		||	Zr	0.886792	Sc	0.113208			||							||					||	O	1.9434	||	848.095	5.561186087
152	||	Fluorites		||	Zr	0.851852	Sc	0.148148			||							||					||	O	1.92593	||	769.095	5.552670649
153	||	Fluorites		||	Zr	0.818182	Sc	0.181818			||							||					||	O	1.90909	||	756.095	5.504517076
154	||	Fluorites		||	Zr	0.785714	Sc	0.214286			||							||					||	O	1.89286	||	875.095	5.870568344
155	||	Fluorites		||	Zr	0.724138	Sc	0.275862			||							||					||	O	1.86207	||	1483.68	6.84766395
156	||	Fluorites		||	Zr	0.666667	Sc	0.333333			||							||					||	O	1.83333	||	1199.4	6.140781355
157	||	Fluorites		||	Zr	0.612903	Sc	0.387097			||							||					||	O	1.80645	||	1491.09	6.949749493
158	||	Fluorites		||	Zr	0.886792	Yb	0.113208			||							||					||	O	1.9434	||	962.095	5.468472874
159	||	Fluorites		||	Zr	0.851852	Yb	0.148148			||							||					||	O	1.92593	||	862.095	5.46951422
160	||	Fluorites		||	Zr	0.818182	Yb	0.181818			||							||					||	O	1.90909	||	960.095	5.963322127
161	||	Fluorites		||	Zr	0.785714	Yb	0.214286			||							||					||	O	1.89286	||	1036.09	6.157943075
162	||	Fluorites		||	Zr	0.724138	Yb	0.275862			||							||					||	O	1.86207	||	1242.09	6.616534326
163	||	Fluorites		||	Zr	0.666667	Yb	0.333333			||							||					||	O	1.83333	||	1330.09	6.694477085
164	||	Fluorites		||	Zr	0.612903	Yb	0.387097			||							||					||	O	1.80645	||	1411.09	6.842815106
165	||	Fluorites		||	Zr	0.886792	Y	0.113208			||							||					||	O	1.9434	||	898.095	5.634708966
166	||	Fluorites		||	Zr	0.851852	Y	0.148148			||							||					||	O	1.92593	||	849.095	5.483856775
167	||	Fluorites		||	Zr	0.818182	Y	0.181818			||							||					||	O	1.90909	||	977.095	6.038306149
168	||	Fluorites		||	Zr	0.785714	Y	0.214286			||							||					||	O	1.89286	||	1127.09	6.298084197
