Atom	zElectronegativity	zElectronegativityFromH	zElectronegativityFromO	zMass	zValence	zRadius01	zRadius02	zRadius03	zRadius04	zRadius05	zRadius06	zRadius07	zRadius08	zRadius09	zRadius10	zRadius11	zRadius12	zRadius13	zRadius14	zXensity	zMolDensity	zFilling	zPorosity	zBulkModulus	zShearModulus	zPoissonRatio	zThermalConductivity	zThermalExpansion	zSuperconducting	zOuterPrincipal	zOuterAzimuthal	zOuterNelectron	zOuterNnonquenched	zOuterRnonquenched	zOuterFillingnonquenched	zDebyeTemp	zHubbardU	zMMSusc
Ti	0.11217903778214170785	0.11217896128704696324	0.11217902520921207987	-1.11164400564574461505	0.68496003407022221232	0.03333444187958872068	-0.00730228583790578593	0.15204030405100360523	-0.16133702311268335872	-0.02983664241307222922	-0.16902811727869954117	0.13108941491731604390	0.17528268191083842820	0.19940429501989589967	0.21465869000263151922	0.23133655456629648173	0.24862341880157784457	-0.15985249364112497084	-0.09166984970282122946	-0.28226856080615464473	0.80221183585227129331	-0.26871058640492712088	0.26871061409764662731	0.67588764439392778893	0.45951227305223124597	1.19731527336382592708	-0.31640900182943421104	-0.06388186585325997258	-0.10909144263355248505	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.84691975757961401872	1.36581426124788785081	-0.17910917992753280781
V	0.21939440132613582946	0.21939431813727722220	0.21939438622468646067	-1.07700024964446283704	1.16283916928309261074	-0.28976057866432974874	-0.24790997747537416029	-0.04663624243946678377	-0.31592945585827347799	-0.14479561141511718136	-0.29577483086972566895	-0.04905923486894115532	-0.03978687511565861396	-0.02600004800998831356	-0.00928549040723829038	0.00858564742999417055	0.02685412738588515910	-0.15985249364112497084	-0.09166984970282122946	-0.03224977460925933237	1.29336320438952445677	-0.30245996240468686622	0.30245998741193375059	1.26529027597981924558	0.52725918856488718234	1.52314490145630387907	-0.19595875606881985043	-0.11006152791585747941	3.06910062243717396413	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.70204189629926261329	1.05714751523437988645	-0.17363863243627891686
Cr	0.25513285584080064305	0.25513277042068716050	0.25513283989651130979	-1.06511691736963687305	1.64071830449596278712	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-0.54187224217875129550	-0.38482993869138704124	-0.49076977485591993799	-0.17681612499433649321	-0.08526326344351449482	0.00368087726066965463	0.08939560372459036397	0.17107205432651040322	0.24862341880157784457	-0.15985249364112497084	-0.09166984970282122946	0.15943129480836043532	1.70096181613876429317	-0.40396131377998933942	0.40396133071067064080	1.26529027597981924558	2.06285594018508833258	0.48049009156037414403	0.64719296425548056284	-0.24860051410364991664	-0.36334680783921063929	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	1.60752852930145873067	0.57800538526188105504	-0.17742100316265368987
Mn	0.12409185595369663646	0.12409177871485033151	0.12409184309982036754	-1.03196681487965968849	0.68496003407022221232	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-0.23268737668757102921	-0.11996447411067551192	-0.31527432526834509030	-0.04209445729497745398	-0.00662287140058484894	0.03099112159916629292	0.06973221227396779465	0.10800455407557144061	0.14525494481345596620	-0.15985249364112497084	-0.09166984970282122946	0.18443317342804987913	1.60523977800848105524	-0.28409832318513511540	0.28409834965343666591	0.79376817071110616908	-0.53410915446672235785	-0.88799434642803343198	-0.50779105898241028161	0.53645374096050724155	-0.36334680783921063929	-0.85498196007096172178	0.36291497195419875066	-1.01204571404001342216	1.06537164498406133895	1.14788166185386208973	0.10447614175735420172	0.81070029225952622287	1.32053788906478386522	-0.15890020819910005700
Fe	0.45765076475723442950	0.45765066669334419913	0.45765074403685207516	-1.02174714912330943939	0.20708089885735195268	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	0.00514713522872142087	0.13110591418979061773	-0.09103013968422180024	0.21196399629856718660	0.25471742134814123748	0.29840393074694648856	0.34356314506782481555	0.38795418018946153937	0.43103837289826335555	-0.15985249364112497084	-0.09166984970282122946	0.28010702894606176461	1.77300644099529347564	-0.01592887906071376730	0.01592892686753104997	1.38317080229699751470	1.31763986954587286604	1.00181749650833884502	0.44644255465445659148	0.07465712033453249241	-0.36334680783921063929	-0.85498196007096172178	0.36291497195419875066	-0.46127254007791884671	2.16275054020503265662	2.31995282131446201035	0.17421594859372369068	1.02801708418005333101	1.26817478036606390290	-0.18731072729918607500
Co	0.51721485561500879502	0.51721475383236092949	0.51721483348989349960	-0.98694908783834500721	-0.27079823635551836247	-0.44270496708748641179	-0.63246200865141533054	0.54939339703194423059	0.21919819595338460583	0.33803205839347172379	0.10396480430197234390	0.42880766822824539775	0.49302163966004941553	0.52940308077673103870	0.56859973611384018177	0.60763930606356530983	0.64588265216769302768	-0.15985249364112497084	-0.09166984970282122946	0.44445271107282091627	1.96604140802556237588	0.34549154551322702744	-0.34549146894781873618	1.50105132861417578383	1.18214603852056110433	1.13214934774533015904	0.72749312809589006257	0.12083678239712991598	-0.36334680783921063929	-0.85498196007096172178	0.36291497195419875066	0.08950063388417564547	1.06537164498406133895	1.14788166185386208973	1.11723795766106159810	0.93746842087983361935	1.46502857246651529977	-0.18731072729918607500
Ni	0.55295331012967363638	0.55295320611577103431	0.55295328716171843197	-0.98965110924884147625	-0.27079823635551836247	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	0.14784784237849704636	0.24606488319183569824	-0.00328241489043455681	0.35188325920237667477	0.42927526126161397180	0.49336873060788122292	0.55785769819174069184	0.62025280611375332995	0.68016990742845884199	-0.15985249364112497084	-0.09166984970282122946	0.45312002899431352843	1.99703278665613104259	0.16301760296767553449	-0.16301754092190487433	1.50105132861417578383	1.18214603852056110433	1.13214934774533015904	0.60704288233527570195	0.12083678239712991598	-0.36334680783921063929	-0.85498196007096172178	0.36291497195419875066	0.36488722086522290544	0.51668219737357579113	0.56184608212356246248	1.41967113791886245799	0.95557815353987751728	1.73668680556513854718	-0.18731072729918607500
Cu	0.54104049195811865225	0.54104038868796766604	0.54104046927111015819	-0.93497155472881532390	-0.27079823635551836247	-0.44270496708748641179	0.36043872758180578453	0.52302040413497929983	0.19541474476175532682	0.29204847079265372489	0.07471556270404318412	0.39491934749522761283	0.44853818557515995336	0.49924801931964091217	0.54037912801340970415	0.56778414965498580358	0.59521183158528034873	-0.15985249364112497084	-0.09166984970282122946	0.45662029200106990512	1.76428753314056008250	0.23440303934336692571	-0.23440297161738427034	1.02952922334546270733	0.54984149373577251296	1.32764712460081724110	4.74250132011636793550	0.30555543064751988780	-0.36334680783921063929	-0.85498196007096172178	0.36291497195419875066	0.64027380784627019317	-0.03200725023690975668	-0.02418949760673728966	3.55210640514535702650	0.56802987461493759103	2.49418019756767561645	-0.18760391445379545616
Zn	0.24322003766924568668	0.24321995299288381998	0.24322002200590303600	-0.91430586973732042022	-0.27079823635551836247	0.49694711928728235728	0.41559987959476257791	0.58706910117046595676	0.26676509833664313609	0.36102385219388077875	0.09421505710266263323	0.43234203296727186094	0.49302163966004941553	0.52200655626838821100	0.55439839784394595590	0.58714236848201006858	0.61953382546483837245	-0.15985249364112497084	-0.09166984970282122946	0.15676442775559357168	1.11431567958118549200	0.07887088622355289957	-0.07887083087342214305	0.20436553912521471243	0.43692996788134591535	0.74115379403435666106	0.99516034089725524669	0.90589103746128718520	0.17694584322281287081	-0.85498196007096172178	0.36291497195419875066	0.91566039482731742538	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.51007873010279702886	0.18862858448718788917	-0.18793043775717968580
Ga	0.43382512841412457227	0.43382503183773746258	0.43382510825563574963	-0.86536853608515995617	0.20708089885735195268	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-0.04241976715453712327	0.06213053278856382755	-0.13977887568077040914	0.16227498614401955623	0.20328342756248765633	0.24549033234110906321	0.28912468169989702371	0.33206936746710169484	0.37378034564013701280	-0.15985249364112497084	-0.09166984970282122946	-0.04725090178107302363	0.61118097797344583810	-0.27786785035181710279	0.27786787731588363792	-0.62079814509503317144	-0.53410915446672235785	-0.88799434642803343198	-0.22272547734895639659	5.06206062309506155117	0.32504959345510869850	-0.85498196007096172178	0.36291497195419875066	0.91566039482731742538	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.48472510437873556066	-0.56610885442594327532	-0.18820396513174236786
