Atom	Electronegativity	ElectronegativityFromH	ElectronegativityFromO	Mass	Valence	Radius01	Radius02	Radius03	Radius04	Radius05	Radius06	Radius07	Radius08	Radius09	Radius10	Radius11	Radius12	Radius13	Radius14	Xensity	MolDensity	Filling	Porosity	BulkModulus	ShearModulus	PoissonRatio	ThermalConductivity	ThermalExpansion	Superconducting	OuterPrincipal	OuterAzimuthal	OuterNelectron	OuterNnonquenched	OuterRnonquenched	OuterFillingnonquenched	DebyeTemp	HubbardU	MMSusc
At	2.2	0.000001	-1.24	210	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0.033333	0	1	0	0	0	2	0	0	6	1	6	0.000001	0.000001	0.000001	0	0	0
Rn	2.2	0.000001	-1.24	222	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00973	0.000044	0	1	0	0	0	0.00361	0	0	6	1	6	0.000001	0.000001	0.000001	0	0	0
Fr	0.7	-1.5	-2.74	223	1	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	1	6	0.000001	0.000001	0.000001	0	0	0
Ra	0.9	-1.3	-2.54	226	2	0	0	0	1.26	1.315	1.37	1.425	1.48	1.535	1.59	1.645	1.7	0	0	5	0.022124	0	1	0	0	0	19	0	0	6	1	6	0.000001	0.000001	0.000001	0	0	0
Ac	1.1	-1.1	-2.34	227	3	0	0	0	0.9948	1.0574	1.12	1.1826	1.2452	1.3078	1.3704	1.433	1.4956	0	0	10.07	0.044361	0.157216	0.842784	0	0	0	12	0	0	6	1	6	0.000001	0.000001	0.000001	0	0	0
Th	1.3	-0.9	-2.14	232.0377	4	0	0	0	0.8033	0.8684	0.94	0.9955	1.05	1.09	1.13	1.18	1.21	0	0	11.72	0.050509	0.105826	0.894174	54	31	0.27	54	0.000011	1.38	6	1	6	0.000001	0.000001	0.000001	153	0	17
Pa	1.5	-0.7	-1.94	231.03588	5	0	0	0	0.65	0.715	0.78	0.845	0.91	0.95	0.99	1.03	1.07	0	0	15.37	0.066526	0.079638	0.920362	0	0	0	47	0	1.41	6	1	6	0.000001	0.000001	0.000001	0	0	75.09
U	1.38	-0.82	-2.06	238.02891	6	0	0.45	0.4766	0.52	0.6242	0.73	0.81	0.86	0.91	0.96	1.01	1.06	0	0	18.95	0.079612	0.078125	0.921875	100	111	0.23	27	0.000014	0.69	6	1	6	0.000001	0.000001	0.000001	207	0	51.4
Np	1.36	-0.84	-2.08	237	5	0	0.5105	0	0.5958	0.6729	0.75	0.8248	0.8805	0.9362	0.9919	1.0476	1.1033	0	0	20.25	0.085443	0.090928	0.909072	0	0	0	6	0	0	5	3	3	3	0.214286	0.030309	0	0	0
Pu	1.28	-0.92	-2.16	244	4	0	0	0	0.7456	0.8028	0.86	0.9172	0.96	1.0028	1.0456	1.0884	1.1312	0	0	19.84	0.081311	0.130463	0.869537	0	43	0.21	6	0	0	5	3	4	4	0.285714	0.032616	0	0	77.35
Am	1.3	-0.9	-2.14	243	3	0	0	0	0.86	0.9175	0.975	1.0325	1.09	1.1475	1.205	1.2625	1.32	0	0	13.69	0.056337	0.13172	0.86828	0	0	0	10	0	0.6	5	3	6	6	0.428571	0.021953	0	0	125.1
Cm	1.3	-0.9	-2.14	247	3	0	0	0	0	0	0.97	0	0	0	0	0	0	0	0	13.51	0.054696	0.125925	0.874075	0	0	0	0	0	0	5	3	7	7	0.5	0.017989	0	0	0
Bk	1.3	-0.9	-2.14	247	3	0	0	0	0	0	0.96	0	0	0	0	0	0	0	0	14	0.05668	0.126498	0.873502	0	0	0	10	0	0	5	3	8	6	0.428571	0.021083	0	0	0
Cf	1.3	-0.9	-2.14	251	3	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	9	5	0.357143	0.000001	0	0	0
Es	1.3	-0.9	-2.14	252	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	10	4	0.285714	0.000001	0	0	0
