Reference,DOI,Year,Class,Formula,Parsed_Formula_SiteA1,Parsed_Formula_nSiteA1,Parsed_Formula_SiteA2,Parsed_Formula_nSiteA2,Parsed_Formula_SiteA3,Parsed_Formula_nSiteA3,Parsed_Formula_SiteB1,Parsed_Formula_nSiteB1,Parsed_Formula_SiteB2,Parsed_Formula_nSiteB2,Parsed_Formula_SiteB3,Parsed_Formula_nSiteB3,Parsed_Formula_SiteC1,Parsed_Formula_nSiteC1,Parsed_Formula_SiteC2,Parsed_Formula_nSiteC2,Parsed_Formula_O,Parsed_Formula_nO,Ea,A,EaHT,AHT,T*,Type_of_conductivity,Measurement_temperature_range,Measurement,Source,Plot type
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.7Sr0.3Ga0.75Mg0.25O2.725,La,0.7,Sr,0.3,,,Ga,0.75,Mg,0.25,,,,,,,O,2.725,1183,106217559.8,906,2409669.117,849.0363232,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.7Sr0.3Ga0.7Mg0.3O2.7,La,0.7,Sr,0.3,,,Ga,0.7,Mg,0.3,,,,,,,O,2.7,1183,91513769.02,896,1804871.579,848.3180593,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,Sr0.9Ce0.1CoO2.55,Sr,0.9,Ce,0.1,,,Co,1,,,,,,,,,O,2.55,831.6919733,1107333.313,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,Sr0.9Ce0.1FeO2.55,Sr,0.9,Ce,0.1,,,Fe,1,,,,,,,,,O,2.55,858.8849619,707680.5692,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,Sr0.95Ce0.05Fe0.8Co0.2O2.525,Sr,0.95,Ce,0.05,,,Fe,0.8,Co,0.2,,,,,,,O,2.525,619.1587705,90897.9493,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,Sr0.85Ce0.15Fe0.8Co0.2O2.575,Sr,0.85,Ce,0.15,,,Fe,0.8,Co,0.2,,,,,,,O,2.575,987.5636463,727288.7689,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,Sr0.8Ce0.2Fe0.8Co0.2O2.6,Sr,0.8,Ce,0.2,,,Fe,0.8,Co,0.2,,,,,,,O,2.6,459.7944103,7173.926834,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,La0.8Sr0.2Fe0.9Co0.1O2.9,La,0.8,Sr,0.2,,,Fe,0.9,Co,0.1,,,,,,,O,2.9,1333.03528,4226231.874,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,La0.8Sr0.2Mn0.8Co0.2O2.9,La,0.8,Sr,0.2,,,Mn,0.8,Co,0.2,,,,,,,O,2.9,959.190922,448.7542757,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,La0.65Sr0.3Fe0.8Co0.2O2.775,La,0.65,Sr,0.3,,,Fe,0.8,Co,0.2,,,,,,,O,2.775,1225.935709,2670113.09,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
