Atom	zElectronegativity	zElectronegativityFromH	zElectronegativityFromO	zMass	zValence	zRadius01	zRadius02	zRadius03	zRadius04	zRadius05	zRadius06	zRadius07	zRadius08	zRadius09	zRadius10	zRadius11	zRadius12	zRadius13	zRadius14	zXensity	zMolDensity	zFilling	zPorosity	zBulkModulus	zShearModulus	zPoissonRatio	zThermalConductivity	zThermalExpansion	zSuperconducting	zOuterPrincipal	zOuterAzimuthal	zOuterNelectron	zOuterNnonquenched	zOuterRnonquenched	zOuterFillingnonquenched	zDebyeTemp	zHubbardU	zMMSusc
Ti	0.11217903778214217951	0.11217896128704654489	0.11217902520921310289	-1.11164400564574451693	0.68496003407022252343	0.03333444187958867234	-0.00730228583790569609	0.15204030405100373140	-0.16133702311268294986	-0.02983664241307242276	-0.16902811727869938675	0.13108941491731565663	0.17528268191083821504	0.19940429501989533814	0.21465869000263131511	0.23133655456629704162	0.24862341880157756557	-0.15985249364112525410	-0.09166984970282112961	-0.28226856080615442772	0.80221183585227120143	-0.26871058640492678481	0.26871061409764590016	0.67588764439392783620	0.45951227305223085105	1.19731527336382525834	-0.31640900182943399504	-0.06388186585325983058	-0.10909144263355260181	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.84691975757961278820	1.36581426124788765945	-0.17910917992753285619
V	0.21939440132613647530	0.21939431813727668999	0.21939438622468766254	-1.07700024964446259906	1.16283916928309305255	-0.28976057866432957289	-0.24790997747537395211	-0.04663624243946659696	-0.31592945585827303953	-0.14479561141511739743	-0.29577483086972565239	-0.04905923486894167955	-0.03978687511565902301	-0.02600004800998896866	-0.00928549040723850460	0.00858564742999471749	0.02685412738588476148	-0.15985249364112525410	-0.09166984970282112961	-0.03224977460925907068	1.29336320438952420513	-0.30245996240468649065	0.30245998741193343192	1.26529027597981921132	0.52725918856488672231	1.52314490145630310441	-0.19595875606881972322	-0.11006152791585729848	3.06910062243717141279	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.70204189629926162911	1.05714751523437969520	-0.17363863243627898252
Cr	0.25513285584080124050	0.25513277042068673831	0.25513283989651251572	-1.06511691736963680279	1.64071830449596358162	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-0.54187224217875086291	-0.38482993869138730465	-0.49076977485591990726	-0.17681612499433710145	-0.08526326344351485636	0.00368087726066891441	0.08939560372459031030	0.17107205432651096253	0.24862341880157756557	-0.15985249364112525410	-0.09166984970282112961	0.15943129480836070305	1.70096181613876395176	-0.40396131377998893176	0.40396133071067010965	1.26529027597981921132	2.06285594018508647036	0.48049009156037399699	0.64719296425548017947	-0.24860051410364970225	-0.36334680783921052298	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	1.60752852930145637340	0.57800538526188072501	-0.17742100316265373112
Mn	0.12409185595369710126	0.12409177871484989439	0.12409184309982138728	-1.03196681487965946319	0.68496003407022252343	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-0.23268737668757068357	-0.11996447411067568288	-0.31527432526834507797	-0.04209445729497789332	-0.00662287140058511834	0.03099112159916562467	0.06973221227396759437	0.10800455407557204263	0.14525494481345571018	-0.15985249364112525410	-0.09166984970282112961	0.18443317342805023877	1.60523977800848071230	-0.28409832318513479586	0.28409834965343604498	0.79376817071110611124	-0.53410915446672192715	-0.88799434642803295645	-0.50779105898241000470	0.53645374096050725240	-0.36334680783921052298	-0.85498196007096174622	0.36291497195419854328	-1.01204571404001342140	1.06537164498406137635	1.14788166185386255832	0.10447614175735322336	0.81070029225952499843	1.32053788906478381275	-0.15890020819910008927
Fe	0.45765076475723491035	0.45765066669334367901	0.45765074403685335048	-1.02174714912330927849	0.20708089885735199431	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	0.00514713522872176216	0.13110591418979054182	-0.09103013968422168489	0.21196399629856678621	0.25471742134814098063	0.29840393074694591288	0.34356314506782467468	0.38795418018946202607	0.43103837289826319276	-0.15985249364112525410	-0.09166984970282112961	0.28010702894606219536	1.77300644099529269252	-0.01592887906071366783	0.01592892686753033473	1.38317080229699748630	1.31763986954587188679	1.00181749650833855066	0.44644255465445639312	0.07465712033453257317	-0.36334680783921052298	-0.85498196007096174622	0.36291497195419854328	-0.46127254007791886523	2.16275054020503282705	2.31995282131446285082	0.17421594859372261937	1.02801708418005173713	1.26817478036606371154	-0.18731072729918612460
Co	0.51721485561500951905	0.51721475383236042631	0.51721483348989477256	-0.98694908783834495560	-0.27079823635551853481	-0.44270496708748613863	-0.63246200865141492028	0.54939339703194438802	0.21919819595338496321	0.33803205839347149638	0.10396480430197256999	0.42880766822824526461	0.49302163966004927768	0.52940308077673058740	0.56859973611384020085	0.60763930606356593049	0.64588265216769293140	-0.15985249364112525410	-0.09166984970282112961	0.44445271107282141002	1.96604140802556169858	0.34549154551322673116	-0.34549146894781928923	1.50105132861417576128	1.18214603852056014427	1.13214934774532968915	0.72749312809588969405	0.12083678239713004110	-0.36334680783921052298	-0.85498196007096174622	0.36291497195419854328	0.08950063388417569097	1.06537164498406137635	1.14788166185386255832	1.11723795766105989233	0.93746842087983226269	1.46502857246651521943	-0.18731072729918612460
Ni	0.55295331012967428424	0.55295320611577047465	0.55295328716171962574	-0.98965110924884142524	-0.27079823635551853481	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	0.14784784237849722956	0.24606488319183551655	-0.00328241489043427018	0.35188325920237658096	0.42927526126161380830	0.49336873060788076129	0.55785769819174075424	0.62025280611375371452	0.68016990742845884096	-0.15985249364112525410	-0.09166984970282112961	0.45312002899431378243	1.99703278665613041397	0.16301760296767547570	-0.16301754092190523168	1.50105132861417576128	1.18214603852056014427	1.13214934774532968915	0.60704288233527542223	0.12083678239713004110	-0.36334680783921052298	-0.85498196007096174622	0.36291497195419854328	0.36488722086522296906	0.51668219737357565095	0.56184608212356241207	1.41967113791886067177	0.95557815353987615758	1.73668680556513830042	-0.18731072729918612460
Cu	0.54104049195811936251	0.54104038868796712518	0.54104046927111134132	-0.93497155472881519840	-0.27079823635551853481	-0.44270496708748613863	0.36043872758180561230	0.52302040413497930021	0.19541474476175571865	0.29204847079265350640	0.07471556270404343179	0.39491934749522743914	0.44853818557515972893	0.49924801931964046976	0.54037912801340945120	0.56778414965498647410	0.59521183158528025706	-0.15985249364112525410	-0.09166984970282112961	0.45662029200107031750	1.76428753314055936053	0.23440303934336683050	-0.23440297161738480976	1.02952922334546266125	0.54984149373577201271	1.32764712460081639683	4.74250132011636542102	0.30555543064751991279	-0.36334680783921052298	-0.85498196007096174622	0.36291497195419854328	0.64027380784627024716	-0.03200725023691007443	-0.02418949760673773415	3.55210640514535374440	0.56802987461493680699	2.49418019756767570276	-0.18760391445379551190
Zn	0.24322003766924631877	0.24321995299288338887	0.24322002200590423132	-0.91430586973732030909	-0.27079823635551853481	0.49694711928728201231	0.41559987959476230856	0.58706910117046594207	0.26676509833664345243	0.36102385219388049130	0.09421505710266285726	0.43234203296727166362	0.49302163966004927768	0.52200655626838772842	0.55439839784394601721	0.58714236848201078149	0.61953382546483834074	-0.15985249364112525410	-0.09166984970282112961	0.15676442775559381927	1.11431567958118521260	0.07887088622355290774	-0.07887083087342249868	0.20436553912521473615	0.43692996788134556065	0.74115379403435627389	0.99516034089725474249	0.90589103746128699579	0.17694584322281255951	-0.85498196007096174622	0.36291497195419854328	0.91566039482731752524	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.51007873010279634331	0.18862858448718764241	-0.18793043775717972749
Ga	0.43382512841412506672	0.43382503183773698014	0.43382510825563678171	-0.86536853608515983772	0.20708089885735199431	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-0.04241976715453672700	0.06213053278856355706	-0.13977887568077024854	0.16227498614401917701	0.20328342756248743996	0.24549033234110853672	0.28912468169989697059	0.33206936746710226095	0.37378034564013687087	-0.15985249364112525410	-0.09166984970282112961	-0.04725090178107279213	0.61118097797344563888	-0.27786785035181674162	0.27786787731588305118	-0.62079814509503318895	-0.53410915446672192715	-0.88799434642803295645	-0.22272547734895622807	5.06206062309505910868	0.32504959345510829857	-0.85498196007096174622	0.36291497195419854328	0.91566039482731752524	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.48472510437873489049	-0.56610885442594343877	-0.18820396513174242117
